"id_hogar","id_viajes","miembro","anio","trimestre","region_origen","aglomerado_origen","region_destino","provincia_destino","localidad_destino","cod_loc_2001","codigo_2001","codigo_2010","cod_prov_2010","cod_depto_2010","cod_loc_2010","pondera","tipo_visitante","cantidad_destinos","multidestino","px06","px06_agrup","px07","px07_agrup","px08","px08_agrup","px09","px10_1","px11","px12_1","px12_2","px12_3","px12_4","px12_5","px12_6","px12_7","px12_8","px13","px14","px15_1","px15_2","px15_3","px15_4","pxb16_1_1","pxb16_1_2","pxb16_1_3","pxb16_1_4","pxb16_1_5","pxb16_1_6","pxb16_1_7","pxb16_1_9","pxb16_2","px17_1","px17_2_1","px17_2_2","px17_2_3","px17_2_4","px17_2_5","px17_2_6","px17_2_7","px17_2_8","px17_2_9","px17_2_10","px17_2_11","px17_2_12","px17_2_13","px18_1","px18_2","px18_3","px18_4","px18_5","px18_6","px18_7","gasto_pc","quintil_pcf_visitante","p002","p004","p005","p006","p006_agrup","p007","nivel_ed","cond_act","p013","j_sexo","j_edad","j_nivel_ed","j_cond_act"
272294,51102,2,2020,1,5,5,5,82,"San José del Rincón",181,"82063160","82063160","82","063","160",289,2,1,1,2,1,0,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,5,2,2,2,64,5,2,5,3,2,1,4,4,3
272308,61101,1,2020,1,2,33,3,6,"Santa Teresita",399,"06420040","06420040","06","420","040",451,1,1,1,2,1,4,2,3,2,1,1,2,10,10,10,10,10,10,10,10,2,2,10,10,10,10,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,5,100,100,100,8,8,8,1812.5,4,2,1,2,63,5,2,5,3,2,2,4,3,3
272308,61101,2,2020,1,2,33,3,6,"Santa Teresita",399,"06420040","06420040","06","420","040",451,1,1,1,2,1,4,2,3,2,1,1,2,10,10,10,10,10,10,10,10,2,2,10,10,10,10,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,5,100,100,100,8,8,8,1812.5,4,2,2,1,63,5,2,8,3,2,2,4,3,3
272309,61101,1,2020,1,2,33,5,18,"Saladas",52,"18126010","18126010","18","126","010",4611,1,1,1,3,2,7,2,3,2,4,2,2,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,10000,1,10,1,1,55,4,2,3,1,2,1,3,2,1
272309,61101,2,2020,1,2,33,5,18,"Saladas",52,"18126010","18126010","18","126","010",4611,1,1,1,3,2,7,2,3,2,4,2,2,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,10000,1,10,2,2,65,5,2,5,1,2,1,3,2,1
272309,61101,3,2020,1,2,33,5,18,"Saladas",52,"18126010","18126010","18","126","010",4611,1,1,1,3,2,7,2,3,2,4,2,2,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,10000,1,10,3,2,44,3,2,5,3,3,1,3,2,1
272312,91101,1,2020,1,2,33,3,6,"Tigre",795,"06805010","06805010","06","805","010",393,2,1,1,3,2,0,,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,333.333333333333,3,3,1,1,54,4,2,5,3,3,1,3,3,3
272312,91101,2,2020,1,2,33,3,6,"Tigre",795,"06805010","06805010","06","805","010",393,2,1,1,3,2,0,,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,333.333333333333,3,3,8,2,74,5,2,5,3,2,1,3,3,3
272312,91101,3,2020,1,2,33,3,6,"Tigre",795,"06805010","06805010","06","805","010",393,2,1,1,3,2,0,,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,333.333333333333,3,3,8,1,72,5,2,3,3,2,1,3,3,3
272316,61101,1,2020,1,2,33,3,6,"Campana",129,"06126030","06126030","06","126","030",3364,1,1,1,1,1,4,2,8,6,1,1,2,10,10,10,10,10,10,10,10,2,1,9,1,9,2,1,1,2,1,1,1,1,1,5,1,2,2,1,2,1,2,2,2,2,1,1,2,1,10,10,10,10,10,10,10,7500,5,1,1,1,41,3,2,9,1,1,1,2,4,1
272333,91101,1,2020,1,1,32,3,6,"Cañuelas",133,"06134030","06134030","06","134","030",400,2,1,1,3,2,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,1,3,1,1,57,4,2,7,1,1,1,3,4,1
272333,91101,2,2020,1,1,32,3,6,"Cañuelas",133,"06134030","06134030","06","134","030",400,2,1,1,3,2,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,1,3,2,2,61,5,2,5,1,1,1,3,4,1
272333,91101,3,2020,1,1,32,3,6,"Cañuelas",133,"06134030","06134030","06","134","030",400,2,1,1,3,2,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,1,3,3,2,10,1,,0,4,1,1,3,4,1
272334,31101,1,2020,1,1,32,3,6,"Carlos Keen",494,"06497020","06497020","06","497","020",486,1,1,1,3,2,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2500,5,4,1,2,66,5,2,9,3,1,2,4,4,3
